sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,19,,良好,0.8,0.26,19.2,21.8,,7,10.1,11.4,1.3,0.2,185,"2023/07/23 20:00:00",0.1,6,,1,121.760056,25.129167,1
汐止,新北市,26,,良好,0.4,0.33,13.4,28.5,12,9,15.5,18,2.5,0.8,212,"2023/07/23 20:00:00",0.1,6.1,12,0,121.64081,25.06624,2
萬里,新北市,22,,良好,0.8,0.22,19.7,24.6,10,3,8.3,9.4,1,2.6,187,"2023/07/23 20:00:00",0.1,3.3,12,0,121.689881,25.179667,3
新店,新北市,30,,良好,0.4,0.28,14.2,32.4,18,6,9.5,11.8,2.3,2.6,199,"2023/07/23 20:00:00",0.2,3.4,12,0,121.537778,24.977222,4
土城,新北市,30,,良好,0.1,0.41,2.3,21.9,,0,18,22.2,4.1,0.5,129,"2023/07/23 20:00:00",0.2,0.6,,0,121.451861,24.982528,5
板橋,新北市,37,,良好,0.4,0.63,3.8,21.9,18,8,22.3,26.4,4.1,0.2,123,"2023/07/23 20:00:00",0.2,6.3,12,0,121.458667,25.012972,6
新莊,新北市,27,,良好,0.9,0.42,7.5,22.3,21,,16.8,17.7,0.8,1.4,171,"2023/07/23 20:00:00",0.1,,16,1,121.4325,25.037972,7
菜寮,新北市,38,,良好,1.2,0.67,9.3,25.9,14,10,23,26,3,2.3,154,"2023/07/23 20:00:00",0.2,7.6,12,1,121.481028,25.06895,8
林口,新北市,27,,良好,1.4,0.28,7.7,20,6,4,16.1,28.3,12.2,1.5,119,"2023/07/23 20:00:00",0.1,3.3,9,0,121.36548982,25.07798949,9
淡水,新北市,28,,良好,1.4,0.3,16,30.7,13,9,11.6,12.3,0.7,,,"2023/07/23 20:00:00",0.1,5.8,12,1,121.449239,25.1645,10
士林,臺北市,30,,良好,1,0.43,13.3,32.5,14,8,18.9,20,1,1.8,149,"2023/07/23 20:00:00",0.2,8.9,14,0,121.51666356,25.10334003,11
中山,臺北市,25,,良好,0.4,0.36,15.2,26.4,19,5,15.2,16,0.8,1.5,145,"2023/07/23 20:00:00",0.3,5.7,16,0,121.526528,25.062361,12
萬華,臺北市,28,,良好,0.2,0.42,12.5,24.3,12,9,17.6,20.2,2.6,0.8,138,"2023/07/23 20:00:00",0.3,8.1,12,0,121.507972,25.046503,13
古亭,臺北市,28,,良好,0.4,0.28,13.5,30.2,15,8,10.8,11.8,0.9,1.6,135,"2023/07/23 20:00:00",0.2,6.5,12,0,121.529556,25.020608,14
松山,臺北市,32,,良好,1.6,0.43,11.4,28.8,10,6,19.5,27,7.4,0.4,36,"2023/07/23 20:00:00",0.2,5.6,12,1,121.578611,25.05,15
大同,臺北市,52,二氧化氮,普通,1.4,1.64,2,19,26,11,33,94.5,61.5,-,-,"2023/07/23 20:00:00",1,12.8,21,1,121.51342074,25.06331455,16
桃園,桃園市,28,,良好,0.4,0.39,8,20,22,4,17.1,18.5,1.3,1.2,179,"2023/07/23 20:00:00",0.2,4.7,13,0,121.30500531,24.9947107,17
大園,桃園市,22,,良好,0.7,0.28,14.7,19.5,13,5,13.2,13.6,0.3,2.7,138,"2023/07/23 20:00:00",0.1,3.3,11,1,121.20251473,25.06100357,18
觀音,桃園市,17,,良好,0.7,0.17,11.2,18.6,20,7,7.6,8.3,0.7,1.8,103,"2023/07/23 20:00:00",0.1,5.3,13,0,121.08283092,25.03556747,19
平鎮,桃園市,18,,良好,0.6,0.28,12.2,19.7,3,6,10.5,12.3,1.7,1.1,129,"2023/07/23 20:00:00",0.2,4.5,10,0,121.203986,24.952786,20
龍潭,桃園市,17,,良好,0.2,0.28,6.8,18.3,15,2,10.5,13.6,3.1,0.3,161,"2023/07/23 20:00:00",0.2,1.7,12,0,121.21645772,24.86400048,21
湖口,新竹縣,16,,良好,0.4,0.16,11.7,17.4,7,2,5.6,7.4,1.8,1.5,145,"2023/07/23 20:00:00",0.1,1.6,5,0,121.03886894,24.90009696,22
竹東,新竹縣,17,,良好,0.3,0.19,8,18.5,21,3,4.6,6.7,2,2.4,15,"2023/07/23 20:00:00",0.1,4.1,17,0,121.08895493,24.74091408,23
新竹,新竹市,28,,良好,0.6,0.39,3,11.5,20,5,17.7,19.8,2.1,0.9,75,"2023/07/23 20:00:00",0.2,3.6,15,0,120.97236752,24.8056356,24
頭份,苗栗縣,17,,良好,0.9,0.19,8.6,18,11,2,4.9,5.9,1,2.2,124,"2023/07/23 20:00:00",0.1,3.7,12,1,120.89869286,24.69690679,25
苗栗,苗栗縣,18,,良好,1,0.22,3.1,14.6,,2,7.1,9.1,2,1.5,186,"2023/07/23 20:00:00",0.2,5.5,,1,120.82011468,24.56499183,26
三義,苗栗縣,14,,良好,0.5,0.09,7.4,15.6,12,0,1.3,2.1,0.7,1.7,25,"2023/07/23 20:00:00",0,4.1,11,1,120.75956754,24.38248443,27
豐原,臺中市,24,,良好,1.4,0.15,16.2,20,,7,2.1,2.4,0.3,2,78,"2023/07/23 20:00:00",0.1,7.5,,1,120.74252414,24.25699731,28
沙鹿,臺中市,17,,良好,1,0.22,9.8,18.1,15,4,7.4,7.9,0.4,1.2,68,"2023/07/23 20:00:00",0.1,2.3,11,1,120.568794,24.225628,29
大里,臺中市,20,,良好,0.9,0.26,17.6,22,18,2,8.8,10.3,1.4,1.6,244,"2023/07/23 20:00:00",0.2,2.8,14,1,120.67844444,24.09961111,30
忠明,臺中市,22,,良好,1.3,0.26,16.1,20.2,17,6,10.2,11,0.8,0.7,206,"2023/07/23 20:00:00",0.1,6.9,11,1,120.641092,24.151958,31
西屯,臺中市,18,,良好,0.9,0.24,15.1,19.6,16,5,10.7,12.3,1.6,0.8,203,"2023/07/23 20:00:00",0.1,5.3,14,1,120.616917,24.162197,32
彰化,彰化縣,26,,良好,1.8,0.22,18,19.9,14,6,7.7,8.7,1,0.3,115,"2023/07/23 20:00:00",0.1,7.9,16,0,120.541519,24.066,33
線西,彰化縣,19,,良好,0.9,0.15,16.1,19.9,11,7,2.5,3.2,0.6,1.1,102,"2023/07/23 20:00:00",0,5.9,10,0,120.469061,24.131672,34
二林,彰化縣,20,,良好,0.7,0.17,20.5,22,15,5,4.2,4.3,0,1.2,88,"2023/07/23 20:00:00",0.1,3.2,10,0,120.409653,23.925175,35
南投,南投縣,24,,良好,0.9,0.2,15.8,26.8,13,3,10.9,11.9,1,2.1,153,"2023/07/23 20:00:00",0.1,5,12,0,120.685306,23.913,36
斗六,雲林縣,24,,良好,0.8,0.18,21.2,26.4,12,1,5.8,6.3,0.4,0.7,42,"2023/07/23 20:00:00",0.1,1.9,11,1,120.544994,23.711853,37
崙背,雲林縣,18,,良好,0.9,0.17,20.1,19.8,8,3,4.8,5,0.2,1.3,52,"2023/07/23 20:00:00",0.1,3.3,12,1,120.348742,23.757547,38
