國文,英文,數學,地理,歷史
62,91,94,82,100
94,71,81,79,78
96,79,73,78,72
63,53,59,71,89
66,64,68,81,79
65,84,65,68,88
95,77,70,86,85
98,88,51,66,87
66,68,63,77,100
95,83,60,91,68
95,82,73,53,95
79,51,100,79,74
59,50,72,81,94
73,97,74,57,51
59,50,52,92,90
83,57,67,99,93
61,85,82,87,76
56,82,82,83,86
92,67,70,59,66
58,100,59,73,90
95,100,90,62,97
70,57,80,75,51
97,60,58,85,99
64,71,91,77,73
87,84,81,65,72
100,90,60,69,61
57,78,68,73,60
68,70,52,93,99
53,98,71,75,73
70,68,89,74,78
92,72,68,56,99
50,93,65,81,85
90,98,50,65,81
59,52,72,94,74
91,59,58,81,95
87,65,82,51,74
53,86,80,88,92
59,57,71,75,62
74,73,66,83,64
76,75,61,79,58
74,99,84,81,68
85,85,75,99,67
68,86,66,91,94
50,50,91,62,65
52,55,90,81,98
100,99,72,99,60
69,74,56,58,83
56,75,55,78,99
86,54,74,55,94
98,83,73,83,53
